~from,~to,~label,sender_instrument_id,sender_user_id,sender_device_imei,amount:Double,ip_city,timestamp,status,fraud_flag:Boolean,receiver_instrument_id,receiver_user_id
9906026265@hdfcbank,xAtRSIg@hdfcbank,transaction,4045100193,NGGTHMJXUG,131D0715E02BC832,40065.86,Thane,27:16.5,decline,FALSE,1174341250,AYUVKIC7IA
7450445058@ybl,9784631865@hdfcbank,transaction,3155977631,G1INSL6E47,D221F50B7BE42C40,24093.48,Jaipur,27:16.5,accept,FALSE,90551313,WKFLW4EFWR
616abc@hdfcbank,9620943191@paytm,transaction,6731960643,Z7NJNFCRD2,3E843D3311FF587C,22975.3,Lucknow,27:16.5,decline,TRUE,603781749,3126CAAR0Q
9853214700@hdfcbank,7296373050@okaxis,transaction,4354983052,JG0YIQ8SSR,34D34F14EE184642,21458.97,Thane,27:16.5,decline,FALSE,5375731077,0JGSHIJDFD
bbkxnSd@sbi,8878877403@ybl,transaction,8737204692,PUC18KDCCM,283B8F12B3E47170,5669.83,Kolkata,27:16.5,decline,FALSE,6.88E+15,JCEU45X68H
9620943191@okaxis,6161600934@hdfcbank,transaction,9305299039,3126CAAR0Q,DC4E85D072BFD86F,29557.08,Kolkata,27:16.5,decline,FALSE,4079812475,3126CAAR0Q
9524356932@ybl,7933983263@paytm,transaction,8091338319,GDSD32B1JS,2A5C1FA0CD422F52,25934.27,Visakhapatnam,27:16.5,decline,FALSE,5577299321,XHKZ94J7SF
7764554212@okaxis,6161600934@paytm,transaction,6201301214,4N5NRQGNAZ,23BB2082AB5D796A,19236.38,Thane,27:16.5,decline,FALSE,9142068192,Z7NJNFCRD2
7147522791@okaxis,9784631865@ybl,transaction,6786096697,Z2SCJE2A81,08A2E67C609FC0F8,33749.15,Pune,27:16.5,accept,FALSE,4654696678,WKFLW4EFWR
6680755445@ybl,8609616362@hdfcbank,transaction,1.33E+15,N5FTP4383Z,BFF1330BC280AB41,22449.27,Nagpur,27:16.5,decline,FALSE,6705910355,XTN5KRUFZP
8476642070@ybl,9906026265@hdfcbank,transaction,8.07E+15,D0P5R7FJ15,BB87E77991DFD84B,25743.74,Visakhapatnam,27:16.5,accept,FALSE,4045100193,NGGTHMJXUG
IOCvnQR@icici,8475711244@paytm,transaction,1201396089,FNP5IKMPI4,D81EC80FB4E69ED0,16420.82,Lucknow,27:16.5,accept,FALSE,4.31E+15,FNP5IKMPI4
9620943191@okaxis,9906026265@ybl,transaction,6594102840,3126CAAR0Q,1554C0E5B0D4CE5D,33515.87,Kanpur,27:16.5,accept,TRUE,5339154823,NGGTHMJXUG
7831767999@okaxis,6821332249@paytm,transaction,4689821799,7SCSU39LMR,FD58A28E95447770,12192.87,Visakhapatnam,27:16.5,accept,FALSE,5.84E+15,7SCSU39LMR
8471605723@ybl,7296373050@ybl,transaction,151320649,EJJGL9VR3Q,15B2E8C9D6A9830F,3624.52,Thane,27:16.5,accept,FALSE,3677342648,EJJGL9VR3Q
IOCvnQR@icici,9075258793@okaxis,transaction,1201396089,FNP5IKMPI4,D81EC80FB4E69ED0,14441.77,Jaipur,27:16.5,decline,FALSE,9200060592,10JULVYHIO
7JEaRY1@icici,8963815383@paytm,transaction,9952344700,EBGKIYMOBD,0EEAE5F6DF6D7BA9,41345.6,Lucknow,27:16.5,decline,FALSE,17872794,3LD94XNHBJ
9170657314@hdfcbank,7831767999@okaxis,transaction,4.21E+15,RBS0VUD5U3,6692B5BAC1726B9F,14413.31,Surat,27:16.5,accept,FALSE,4689821799,7SCSU39LMR
7cNkubA@hdfcbank,9886232780@ybl,transaction,4080087380,JCEU45X68H,3B93AC55ECBF7422,42136.4,Mumbai,27:16.5,decline,FALSE,8.83E+15,I5UXCEV8LG
6798783775@ybl,6256361730@hdfcbank,transaction,2482418274,MZ9O6VEYP8,CFF864F1B9D65AAA,40643.33,Hyderabad,27:16.5,decline,FALSE,534668300,HL2HRWB9EV
7357185559@paytm,7619709737@okaxis,transaction,4418178016,54MEI4SWMY,6E02CE91BF30F055,13831.43,Visakhapatnam,27:16.5,accept,FALSE,9035332719,O923APQT2E
6739597419@paytm,9075258793@okaxis,transaction,5037578621,YYQM0WYUEC,9343CF577BECF74A,31690.72,Kanpur,27:16.5,accept,TRUE,9200060592,10JULVYHIO
Z2oB2h0@sbi,m4S13Fg@icici,transaction,7100745923,IN9FP0A875,538DAA0577C45058,792.42,Chennai,27:16.5,accept,FALSE,6.49E+14,RBS0VUD5U3
6565470973@hdfcbank,Od9jE2a@sbi,transaction,1145417794,BLZI9IWM3P,119709559CBB60BF,37154.23,Delhi,27:16.5,accept,FALSE,3.79E+15,5UTIPEGDL6
8056629010@hdfcbank,7296373050@okaxis,transaction,5727661169,CQE72NZMJL,A76CF800E4F36AFD,11966.74,Surat,27:16.6,decline,FALSE,2613525678,8HSSGO1ZAK
7976237960@hdfcbank,xpK9Ebg@sbi,transaction,6633974777,PUC18KDCCM,1CB9B2601A0D589F,14525.62,Nagpur,27:16.6,decline,FALSE,265345652,4A78XVGOIF
VYCAM5e@sbi,DXdbC59@hdfcbank,transaction,528209209,CB0UF6ZWYY,40E5830F031C997C,28143.95,Ahmedabad,27:16.6,decline,FALSE,9047944288,CB0UF6ZWYY
8030792447@hdfcbank,7619709737@okaxis,transaction,6.56E+15,X5U5JNL239,6ACA795741F597FE,13901.17,Chennai,27:16.6,decline,FALSE,9035332719,O923APQT2E
6427787479@okaxis,tBzJ31p@sbi,transaction,8.66E+15,MLKSVH0BDT,1240241A7F16BD96,2811.53,Mumbai,27:16.6,decline,FALSE,776752501,MLKSVH0BDT
6256361730@hdfcbank,m4S13Fg@icici,transaction,534668300,HL2HRWB9EV,1F00F2FC8B4C2C3B,9406.33,Jaipur,27:16.6,accept,FALSE,6.49E+14,RBS0VUD5U3
7450445058@okaxis,hBEajjm@sbi,transaction,1722917660,R321IUUSYI,37A7B8EE14F9BB7F,14494.34,Surat,27:16.6,decline,FALSE,8673158655,KWXCN54DLU
tCoQvhz@sbi,9075258793@paytm,transaction,4212960551,FT62OVDUJV,D8926C6289C6C1DE,17638.99,Bhopal,27:16.6,decline,FALSE,4767291361,HG54XVGD22
XAIwxug@icici,9465199714@paytm,transaction,5569924201,Z2SCJE2A81,140D647F7855660C,18601.12,Chennai,27:16.6,accept,FALSE,732235839,GN02GZV81Z
8030792447@hdfcbank,YI0IdJL@sbi,transaction,1576767887,X5U5JNL239,5D041E3952D0A79A,30003.28,Kanpur,27:16.6,accept,TRUE,4184090411,FUUO9JKDQP
6821332249@paytm,ZnSnzF4@icici,transaction,5.84E+15,LBKZS94X5S,DC4E85D072BFD86F,31195.95,Bhopal,27:16.6,accept,FALSE,4727136073,95CJ7L1WD1
9465199714@paytm,8471605723@ybl,transaction,732235839,GN02GZV81Z,C2E2F1B4F571208A,39715.5,Ahmedabad,27:16.6,accept,FALSE,151320649,EJJGL9VR3Q
7296373050@paytm,9465199714@paytm,transaction,4.27E+15,0HV9PJP65I,6D91B3CD3E21A331,43276.63,Bhopal,27:16.6,decline,FALSE,732235839,GN02GZV81Z
7450445058@hdfcbank,RyVvWtK@icici,transaction,4061276184,2R3SNXILST,52581FB6A7736CE1,15306.99,Kolkata,27:16.6,decline,FALSE,2312313609,FT62OVDUJV
9465199714@okaxis,7057850237@paytm,transaction,3971066640,GN02GZV81Z,12816ECA0E21ECC9,24118.75,Kanpur,27:16.6,accept,FALSE,4304735682,POY81DJDU4
7763984213@okaxis,8609616362@okaxis,transaction,3.78E+15,95CJ7L1WD1,24E335734DB16D07,23137.34,Indore,27:16.6,accept,TRUE,3876807333,95CJ7L1WD1
9906026265@ybl,6193692209@ybl,transaction,5339154823,NGGTHMJXUG,FF778EE734F48CC0,6025.59,Indore,27:16.6,decline,FALSE,6061774591,FNP5IKMPI4
7577313571@paytm,7296373050@ybl,transaction,9232107515,AU7QTUSVZC,253D1D5C7EA760B3,19246.88,Indore,27:16.6,decline,FALSE,3677342648,AU7QTUSVZC
7296373050@hdfcbank,6611564697@hdfcbank,transaction,9871425647,7FD76VJSC1,6C0C186BDB6CE83B,41834.1,Ahmedabad,27:16.6,decline,FALSE,9899285627,U6VL0H3I10
9853214700@paytm,iUXb3Mk@icici,transaction,9328711903,8565QRB96S,AD3422F1662EF3F5,5418.02,Kolkata,27:16.6,accept,FALSE,9924028547,D8ESKRU8Y1
9906026265@paytm,9784631865@ybl,transaction,366804467,NGGTHMJXUG,5D1D80B86B9E9CCF,27178.45,Indore,27:16.6,accept,FALSE,4692379471,WKFLW4EFWR
9620943191@paytm,7619709737@okaxis,transaction,603781749,3126CAAR0Q,8139FFF8A917522E,42456.37,Chennai,27:16.6,accept,FALSE,9035332719,O923APQT2E
7496930537@ybl,7763984213@okaxis,transaction,6574328393,KSNAXIYZSE,D8A26DDF267F20D4,42616.06,Delhi,27:16.6,decline,FALSE,3.78E+15,95CJ7L1WD1
8056629010@hdfcbank,RyVvWtK@icici,transaction,5727661169,CQE72NZMJL,A76CF800E4F36AFD,3924.22,Lucknow,27:16.6,accept,FALSE,2312313609,FT62OVDUJV
ZnSnzF4@icici,Od9jE2a@sbi,transaction,4727136073,95CJ7L1WD1,11244773FEAB5D0F,38117.96,Pune,27:16.6,accept,FALSE,3.79E+15,5UTIPEGDL6
6427787479@hdfcbank,7057850237@paytm,transaction,6767125103,MLKSVH0BDT,DAFDBC5F1EC20232,4971.21,Chennai,27:16.6,accept,FALSE,4304735682,POY81DJDU4
6611564697@hdfcbank,6361393474@okaxis,transaction,9899285627,U6VL0H3I10,88059EE2922F3D79,25274.24,Kolkata,27:16.6,accept,FALSE,6522905352,FJ9QOQ55CA
Od9jE2a@sbi,9853214700@okaxis,transaction,3.79E+15,5UTIPEGDL6,D8488EE643F99EC6,1841.44,Delhi,27:16.6,accept,FALSE,7.30E+15,JG0YIQ8SSR
7496930537@hdfcbank,7322852635@ybl,transaction,5155116366,KSNAXIYZSE,5B29EF7822481857,5231.33,Kanpur,27:16.6,decline,FALSE,9.49E+15,MTA71BJBGS
9041211410@paytm,6166141049@paytm,transaction,2697207860,Y0NALH82DY,BA27AABDF1D056C6,4963.28,Thane,27:16.6,decline,FALSE,6019622857,FT62OVDUJV
OYWfOsh@sbi,pw7b4WS@sbi,transaction,8669013223,CQE72NZMJL,88507DFF26B12F13,35751.55,Lucknow,27:16.6,accept,FALSE,5989772951,96GRFN79K4
9906026265@paytm,7893618411@paytm,transaction,366804467,NGGTHMJXUG,5D1D80B86B9E9CCF,24687.28,Thane,27:16.6,decline,TRUE,8518415961,2RQPTNJXGW
7296373050@okaxis,RBXLHCC@hdfcbank,transaction,731559909,0HV9PJP65I,0760EEAE6DA4F319,30382.09,Visakhapatnam,27:16.6,accept,FALSE,5238741908,KWXCN54DLU
9075258793@ybl,47N854I@hdfcbank,transaction,1407311361,RRZ4G78NHW,B71067B3B9E10130,16195.75,Bangalore,27:16.6,accept,FALSE,2312313609,FT62OVDUJV
7357185559@okaxis,7450445058@paytm,transaction,6.26E+15,54MEI4SWMY,2A5C1FA0CD422F52,36081.82,Visakhapatnam,27:16.6,decline,FALSE,2.26E+15,AYUVKIC7IA
9075258793@okaxis,9620943191@okaxis,transaction,8052098570,0CTDUUVBUC,55C82C64CC0CC818,18661.14,Ahmedabad,27:16.6,accept,FALSE,9305299039,3126CAAR0Q
3h52hNa@icici,RUoZ0W4@sbi,transaction,8350859236,GDSD32B1JS,3B93AC55ECBF7422,7329.3,Pune,27:16.6,accept,FALSE,5238741908,KWXCN54DLU
TN9ytPM@sbi,8312198171@hdfcbank,transaction,1384644314,KSNAXIYZSE,DAE1425CC8659787,23739.55,Delhi,27:16.6,accept,FALSE,5212405945,ATZLN3HG1G
TN9ytPM@sbi,7296373050@okaxis,transaction,1384644314,KSNAXIYZSE,DAE1425CC8659787,28379.81,Chennai,27:16.6,decline,FALSE,6555873577,8HSSGO1ZAK
8F46fDs@hdfcbank,lrzMVAY@icici,transaction,482972226,G1INSL6E47,49F168CEE55B62E3,32136.17,Thane,27:16.6,decline,FALSE,7883464396,7PSEYATQZG
9075258793@paytm,6161600934@paytm,transaction,4767291361,HG54XVGD22,5D041E3952D0A79A,33016.61,Bangalore,27:16.6,accept,TRUE,9142068192,Z7NJNFCRD2
tCoQvhz@sbi,8879314278@paytm,transaction,4212960551,FT62OVDUJV,D8926C6289C6C1DE,14721.35,Delhi,27:16.6,accept,FALSE,7126310065,EBGKIYMOBD
IOCvnQR@icici,6193692209@ybl,transaction,1201396089,FNP5IKMPI4,D81EC80FB4E69ED0,43128.44,Ahmedabad,27:16.6,decline,FALSE,6061774591,FNP5IKMPI4
9906026265@okaxis,7322852635@ybl,transaction,9.80E+14,NGGTHMJXUG,FD58A28E95447770,34593.57,Pune,27:16.6,accept,FALSE,9.49E+15,MTA71BJBGS
8917520929@hdfcbank,7976237960@hdfcbank,transaction,1286129718,VP6JZ7NS2N,29528FB5154C6E96,27419.09,Mumbai,27:16.6,decline,TRUE,6633974777,PUC18KDCCM
8312198171@hdfcbank,8439469188@hdfcbank,transaction,5212405945,ATZLN3HG1G,47BD3AE707F07EE7,20025.77,Mumbai,27:16.6,decline,FALSE,6709263686,BNM2U54F8R
7296373050@paytm,7296373050@okaxis,transaction,3037692423,7FD76VJSC1,C4D87AD2D3453BFF,44975.72,Bangalore,27:16.6,accept,FALSE,2613525678,8HSSGO1ZAK
8056629010@hdfcbank,6380263382@ybl,transaction,5727661169,CQE72NZMJL,A76CF800E4F36AFD,21821.7,Ahmedabad,27:16.6,decline,FALSE,5455162144,8URGZQ30PS
9075258793@paytm,9465199714@okaxis,transaction,1458832078,RRZ4G78NHW,BB87E77991DFD84B,13080.37,Visakhapatnam,27:16.6,decline,FALSE,3971066640,GN02GZV81Z
7450445058@ybl,8471605723@okaxis,transaction,8654712098,AYUVKIC7IA,C5631DA999FFF308,32992.97,Delhi,27:16.6,accept,FALSE,1.40E+15,EJJGL9VR3Q
TN9ytPM@sbi,8030792447@hdfcbank,transaction,1384644314,KSNAXIYZSE,DAE1425CC8659787,37622.19,Ahmedabad,27:16.6,decline,FALSE,6.56E+15,KSNAXIYZSE
y7ZZMGD@hdfcbank,9866212826@paytm,transaction,5.42E+15,MLKSVH0BDT,5B29EF7822481857,4483.61,Pune,27:16.6,decline,FALSE,7141595488,0LPJS733QC
AlpZip5@icici,tCoQvhz@sbi,transaction,8649824609,EHUHFS2UB3,8B68A605E6D381B8,40177.03,Hyderabad,27:16.6,accept,FALSE,4212960551,FT62OVDUJV
6380263382@ybl,6161600934@ybl,transaction,5455162144,8URGZQ30PS,FD58A28E95447770,18068.06,Kolkata,27:16.6,decline,FALSE,6228083119,Z7NJNFCRD2
7797767385@okaxis,7JEaRY1@icici,transaction,249655853,7JL6NC33HJ,A60DDA02FFDD8C19,3371.62,Mumbai,27:16.6,accept,TRUE,9952344700,EBGKIYMOBD
7933983263@okaxis,UkHKk9t@hdfcbank,transaction,8.83E+15,XHKZ94J7SF,140D647F7855660C,36508.58,Jaipur,27:16.6,decline,FALSE,364463015,RBS0VUD5U3
tBzJ31p@sbi,aZozt7u@hdfcbank,transaction,776752501,XTN5KRUFZP,CE2FCFDE7F38CB43,34059.12,Visakhapatnam,27:16.6,accept,FALSE,9589958684,BNM2U54F8R
9551987888@hdfcbank,6739597419@hdfcbank,transaction,2509807437,OGQ8RBO7KO,EFF5BEA695A79CDC,28685.62,Kolkata,27:16.6,accept,FALSE,7.13E+15,YYQM0WYUEC
6380263382@ybl,7933983263@paytm,transaction,2.30E+15,8URGZQ30PS,B4B26E3B56A87D5A,29602.32,Hyderabad,27:16.6,accept,TRUE,5577299321,XHKZ94J7SF
8439469188@hdfcbank,7296373050@okaxis,transaction,6709263686,BNM2U54F8R,51CBC0776DBC4C10,224.42,Bangalore,27:16.6,accept,FALSE,5375731077,0JGSHIJDFD
7496930537@ybl,8312198171@hdfcbank,transaction,6574328393,KSNAXIYZSE,D8A26DDF267F20D4,20486.72,Bangalore,27:16.6,accept,FALSE,3121667784,ATZLN3HG1G
7147522791@okaxis,y7ZZMGD@hdfcbank,transaction,6786096697,Z2SCJE2A81,08A2E67C609FC0F8,43898,Bangalore,27:16.6,accept,FALSE,5.42E+15,MLKSVH0BDT
9853214700@okaxis,9620943191@okaxis,transaction,7.30E+15,JG0YIQ8SSR,D221F50B7BE42C40,15024.52,Delhi,27:16.6,accept,TRUE,2084188984,3126CAAR0Q
9465199714@paytm,8056629010@ybl,transaction,732235839,GN02GZV81Z,C2E2F1B4F571208A,15858.48,Hyderabad,27:16.6,accept,FALSE,1830857065,CQE72NZMJL
LuIaB5w@icici,WgC0kej@sbi,transaction,5250544689,WQFJALTLIV,6ACA795741F597FE,38762.04,Surat,27:16.6,decline,FALSE,7354860873,WQFJALTLIV
9620943191@okaxis,xpK9Ebg@sbi,transaction,9305299039,3126CAAR0Q,DC4E85D072BFD86F,9622.71,Thane,27:16.6,decline,FALSE,265345652,4A78XVGOIF
6680755445@ybl,9075258793@okaxis,transaction,1.33E+15,N5FTP4383Z,BFF1330BC280AB41,5005.06,Kanpur,27:16.6,decline,FALSE,9194123044,RRZ4G78NHW
8030792447@hdfcbank,7JEaRY1@icici,transaction,1576767887,X5U5JNL239,5D041E3952D0A79A,5665.1,Visakhapatnam,27:16.6,decline,FALSE,9952344700,EBGKIYMOBD
7893618411@paytm,8755203700@hdfcbank,transaction,8518415961,2RQPTNJXGW,683B8EBE453E0C1E,33532.99,Chennai,27:16.6,decline,FALSE,1400965845,IN9FP0A875
7217820341@paytm,7057850237@paytm,transaction,4.00E+15,0C78EW4S1E,803FDE62DB78A333,725.12,Kanpur,27:16.6,decline,FALSE,4304735682,0C78EW4S1E
7206101006@hdfcbank,6821332249@paytm,transaction,8810863485,RZZGVTP199,FF3966620681B94C,39162.43,Kanpur,27:16.6,decline,TRUE,5.84E+15,RZZGVTP199
7577313571@hdfcbank,9041abc@paytm,transaction,3817901781,AU7QTUSVZC,D7B54AB11B285A6A,17577.73,Bhopal,27:16.6,accept,FALSE,6286272933,Y0NALH82DY
6797920394@hdfcbank,6739597419@paytm,transaction,8927209846,IHB68AUFMI,ADE5830173B3A1CC,39279.13,Kolkata,27:16.6,decline,FALSE,5037578621,YYQM0WYUEC
8590195237@ybl,6016988534@paytm,transaction,8639258019,FGNODWO6BO,BFF0335C8D126D83,37295.62,Bhopal,27:16.6,decline,FALSE,629803814,11JMTJBGEJ
6361393474@hdfcbank,UkHKk9t@hdfcbank,transaction,959814688,FJ9QOQ55CA,2F7AF0C4F6CEA938,14942.16,Nagpur,27:16.6,accept,TRUE,364463015,RBS0VUD5U3
8030792447@ybl,7450445058@hdfcbank,transaction,2.82E+15,X5U5JNL239,DC4E85D072BFD86F,1695.87,Bhopal,27:16.6,decline,FALSE,4061276184,2R3SNXILST
YI0IdJL@sbi,tCoQvhz@sbi,transaction,4184090411,FUUO9JKDQP,1A09A971CF602958,16787.07,Chennai,27:16.6,decline,TRUE,4212960551,FT62OVDUJV
9075258793@paytm,9620943191@ybl,transaction,1458832078,RRZ4G78NHW,BB87E77991DFD84B,3334.69,Pune,27:16.6,decline,FALSE,7840226774,3126CAAR0Q
